version,query,time_ms
1883,total_count,667
1883,count_by_advertiser,875
1883,certain_advertiser_specific_dates,3634
1883,total_count,615
1883,count_by_advertiser,816
1883,certain_advertiser_specific_dates,3486
1885,total_count,584
1885,count_by_advertiser,777
1885,certain_advertiser_specific_dates,2858
1890,total_count,479
1890,count_by_advertiser,678
1890,certain_advertiser_specific_dates,2646
1895,total_count,455
1895,count_by_advertiser,616
1895,certain_advertiser_specific_dates,2515
1905,total_count,383
1905,count_by_advertiser,527
1905,certain_advertiser_specific_dates,2140
1915,total_count,284
1915,count_by_advertiser,400
1915,certain_advertiser_specific_dates,1854
1925,total_count,220
1925,count_by_advertiser,297
1925,certain_advertiser_specific_dates,1538
1935,total_count,183
1935,count_by_advertiser,255
1935,certain_advertiser_specific_dates,1424
1945,total_count,177
1945,count_by_advertiser,246
1945,certain_advertiser_specific_dates,1430
1955,total_count,174
1955,count_by_advertiser,231
1955,certain_advertiser_specific_dates,1385
1965,total_count,155
1965,count_by_advertiser,216
1965,certain_advertiser_specific_dates,1349
1965,total_count,158
1965,count_by_advertiser,215
1965,certain_advertiser_specific_dates,1357
1966,total_count,145
1966,count_by_advertiser,197
1966,certain_advertiser_specific_dates,1337
1969,total_count,122
1969,count_by_advertiser,168
1969,certain_advertiser_specific_dates,1268
1974,total_count,116
1974,count_by_advertiser,149
1974,certain_advertiser_specific_dates,1260
1977,total_count,118
1977,count_by_advertiser,154
1977,certain_advertiser_specific_dates,1252
1977,total_count,136
1977,count_by_advertiser,196
1977,certain_advertiser_specific_dates,2337
1977,total_count,105
1977,count_by_advertiser,174
1977,certain_advertiser_specific_dates,1714
1977,total_count,115
1977,count_by_advertiser,170
1977,certain_advertiser_specific_dates,1777
1977,total_count,129
1977,count_by_advertiser,164
1977,certain_advertiser_specific_dates,1600
1977,total_count,117
1977,count_by_advertiser,167
1977,certain_advertiser_specific_dates,1713
1977,total_count,111
1977,count_by_advertiser,169
1977,certain_advertiser_specific_dates,1599
1977,total_count,115
1977,count_by_advertiser,167
1977,certain_advertiser_specific_dates,1617
1977,total_count,118
1977,count_by_advertiser,169
1977,certain_advertiser_specific_dates,1663
1977,total_count,133
1977,count_by_advertiser,170
1977,certain_advertiser_specific_dates,1618
1977,total_count,114
1977,count_by_advertiser,166
1977,certain_advertiser_specific_dates,1539
